CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
621.000;600.000;610.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;271.000;
619.000;598.000;608.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;272.000;
618.000;596.000;607.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;273.000;
617.000;595.000;606.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;274.000;
615.000;593.000;604.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;275.000;
614.000;590.000;602.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;276.000;
612.000;589.000;600.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;277.000;
611.000;587.000;599.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;278.000;
609.000;585.000;597.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;279.000;
608.000;583.000;595.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;280.000;
607.000;581.000;594.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;281.000;
605.000;580.000;592.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;282.000;
